Code,Country,West,South,East,North
AF,Afghanistan,60.5284298033,29.318572496,75.1580277851,38.4862816432
AO,Angola,11.6400960629,-17.9306364885,24.0799052263,-4.43802336998
AL,Albania,19.3044861183,39.624997667,21.0200403175,42.6882473822
